[[0, 0.55, 0] 
[14, 0.55, 0] 
[28, 0.55, 0] 
[42, 0.55, 0] 
[56, 0.55, 0] 
[70, 0.55, 0] 
[70, -0.55, 0] 
[56, -0.55, 0] 
[42, -0.55, 0] 
[28, -0.55, 0] 
[14, -0.55, 0] 
[0, -0.55, 0] 
[0, 0.55, 5.5] 
[14, 0.55, 5.5] 
[28, 0.55, 5.5] 
[42, 0.55, 5.5] 
[56, 0.55, 5.5] 
[70, 0.55, 5.5] 
[70, -0.55, 5.5] 
[56, -0.55, 5.5] 
[42, -0.55, 5.5] 
[28, -0.55, 5.5] 
[14, -0.55, 5.5] 
[0, -0.55, 5.5] 
[0, 0.55, 11] 
[14, 0.55, 11] 
[28, 0.55, 11] 
[42, 0.55, 11] 
[56, 0.55, 11] 
[70, 0.55, 11] 
[70, -0.55, 11] 
[56, -0.55, 11] 
[42, -0.55, 11] 
[28, -0.55, 11] 
[14, -0.55, 11] 
[0, -0.55, 11] 
[0, 0.55, 16.5] 
[14, 0.55, 16.5] 
[28, 0.55, 16.5] 
[42, 0.55, 16.5] 
[56, 0.55, 16.5] 
[70, 0.55, 16.5] 
[70, -0.55, 16.5] 
[56, -0.55, 16.5] 
[42, -0.55, 16.5] 
[28, -0.55, 16.5] 
[14, -0.55, 16.5] 
[0, -0.55, 16.5] 
[0, 0.55, 22] 
[14, 0.55, 22] 
[28, 0.55, 22] 
[42, 0.55, 22] 
[56, 0.55, 22] 
[70, 0.55, 22] 
[70, -0.55, 22] 
[56, -0.55, 22] 
[42, -0.55, 22] 
[28, -0.55, 22] 
[14, -0.55, 22] 
[0, -0.55, 22] 
[0, 0.55, 27.5] 
[14, 0.55, 27.5] 
[28, 0.55, 27.5] 
[42, 0.55, 27.5] 
[56, 0.55, 27.5] 
[70, 0.55, 27.5] 
[70, -0.55, 27.5] 
[56, -0.55, 27.5] 
[42, -0.55, 27.5] 
[28, -0.55, 27.5] 
[14, -0.55, 27.5] 
[0, -0.55, 27.5] 
[0, 0.55, 33] 
[14, 0.55, 33] 
[28, 0.55, 33] 
[42, 0.55, 33] 
[56, 0.55, 33] 
[70, 0.55, 33] 
[70, -0.55, 33] 
[56, -0.55, 33] 
[42, -0.55, 33] 
[28, -0.55, 33] 
[14, -0.55, 33] 
[0, -0.55, 33] 
[0, 0.55, 38.5] 
[14, 0.55, 38.5] 
[28, 0.55, 38.5] 
[42, 0.55, 38.5] 
[56, 0.55, 38.5] 
[70, 0.55, 38.5] 
[70, -0.55, 38.5] 
[56, -0.55, 38.5] 
[42, -0.55, 38.5] 
[28, -0.55, 38.5] 
[14, -0.55, 38.5] 
[0, -0.55, 38.5] 
[0, 0.55, 44] 
[14, 0.55, 44] 
[28, 0.55, 44] 
[42, 0.55, 44] 
[56, 0.55, 44] 
[70, 0.55, 44] 
[70, -0.55, 44] 
[56, -0.55, 44] 
[42, -0.55, 44] 
[28, -0.55, 44] 
[14, -0.55, 44] 
[0, -0.55, 44] 
[0, 0.55, 49.5] 
[14, 0.55, 49.5] 
[28, 0.55, 49.5] 
[42, 0.55, 49.5] 
[56, 0.55, 49.5] 
[70, 0.55, 49.5] 
[70, -0.55, 49.5] 
[56, -0.55, 49.5] 
[42, -0.55, 49.5] 
[28, -0.55, 49.5] 
[14, -0.55, 49.5] 
[0, -0.55, 49.5] 
[0, 0.55, 55] 
[14, 0.55, 55] 
[28, 0.55, 55] 
[42, 0.55, 55] 
[56, 0.55, 55] 
[70, 0.55, 55] 
[70, -0.55, 55] 
[56, -0.55, 55] 
[42, -0.55, 55] 
[28, -0.55, 55] 
[14, -0.55, 55] 
[0, -0.55, 55]]
